mobility	selfcare	activity	pain	anxiety	EQ5Dindex
2	1	4	1	3	0.542
2	1	4	1	4	0.458
2	1	4	1	5	0.371
2	1	4	2	1	0.517
2	1	4	2	2	0.491
2	1	4	2	3	0.485
2	1	4	2	4	0.401
2	1	4	2	5	0.313
2	1	4	3	1	0.502
2	1	4	3	2	0.477
2	1	4	3	3	0.470
2	1	4	3	4	0.386
2	1	4	3	5	0.299
2	1	4	4	1	0.410
2	1	4	4	2	0.385
2	1	4	4	3	0.378
2	1	4	4	4	0.313
2	1	4	4	5	0.244
2	1	4	5	1	0.272
2	1	4	5	2	0.247
2	1	4	5	3	0.240
2	1	4	5	4	0.202
2	1	4	5	5	0.162
2	1	5	1	1	0.441
2	1	5	1	2	0.416
2	1	5	1	3	0.409
2	1	5	1	4	0.371
2	1	5	1	5	0.331
2	1	5	2	1	0.384
2	1	5	2	2	0.358
2	1	5	2	3	0.352
2	1	5	2	4	0.314
2	1	5	2	5	0.274
2	1	5	3	1	0.369
2	1	5	3	2	0.344
2	1	5	3	3	0.337
2	1	5	3	4	0.299
2	1	5	3	5	0.259
2	1	5	4	1	0.315
2	1	5	4	2	0.289
2	1	5	4	3	0.283
2	1	5	4	4	0.244
2	1	5	4	5	0.205
2	1	5	5	1	0.232
2	1	5	5	2	0.207
2	1	5	5	3	0.200
2	1	5	5	4	0.162
2	1	5	5	5	0.122
2	2	1	1	1	0.604
2	2	1	1	2	0.574
2	2	1	1	3	0.566
2	2	1	1	4	0.459
2	2	1	1	5	0.349
2	2	1	2	1	0.541
2	2	1	2	2	0.515
2	2	1	2	3	0.508
2	2	1	2	4	0.402
2	2	1	2	5	0.291
2	2	1	3	1	0.526
2	2	1	3	2	0.500
2	2	1	3	3	0.494
2	2	1	3	4	0.387
2	2	1	3	5	0.277
2	2	1	4	1	0.415
2	2	1	4	2	0.390
2	2	1	4	3	0.383
2	2	1	4	4	0.304
2	2	1	4	5	0.222
2	2	1	5	1	0.250
2	2	1	5	2	0.224
2	2	1	5	3	0.218
2	2	1	5	4	0.179
2	2	1	5	5	0.140
2	2	2	1	1	0.552
2	2	2	1	2	0.525
2	2	2	1	3	0.518
2	2	2	1	4	0.412
2	2	2	1	5	0.301
2	2	2	2	1	0.493
2	2	2	2	2	0.467
2	2	2	2	3	0.461
2	2	2	2	4	0.354
2	2	2	2	5	0.244
2	2	2	3	1	0.478
2	2	2	3	2	0.453
2	2	2	3	3	0.446
2	2	2	3	4	0.340
2	2	2	3	5	0.229
2	2	2	4	1	0.368
2	2	2	4	2	0.343
2	2	2	4	3	0.336
2	2	2	4	4	0.257
2	2	2	4	5	0.175
2	2	2	5	1	0.202
2	2	2	5	2	0.177
2	2	2	5	3	0.170
2	2	2	5	4	0.132
2	2	2	5	5	0.092
2	2	3	1	1	0.539
2	2	3	1	2	0.513
2	2	3	1	3	0.507
2	2	3	1	4	0.400
2	2	3	1	5	0.290
